Player,Prop Type,Prop Value,League
,Fantasy Score,8.0,
,Fantasy Score,6.5,
,Fantasy Score,8.0,
,Fantasy Score,6.5,
,Fantasy Score,5.0,
,Fantasy Score,5.5,
,MAPS 1-2 Kills (Combo),33.5,
,MAPS 1-2 Kills (Combo),31.5,
,MAPS 1-2 Kills,18.5,
,MAPS 1-2 Kills,15.5,
,MAPS 1-2 Kills,15.0,
,MAPS 1-2 Kills,13.5,
,MAPS 1-2 Kills,13.5,
,MAPS 1-2 Kills,18.0,
,MAPS 1-2 Kills,18.0,
,MAPS 1-2 Kills,16.0,
,MAPS 1-2 Kills,14.0,
,MAPS 1-2 Kills,14.0,
,Assists,7.0,
,Pts+Rebs+Asts,29.5,
,Points,18.5,
,Rebounds,3.5,
,Points,18.5,
,Rebounds,8.0,
,Pts+Rebs+Asts,28.5,
,Points,12.5,
,Pts+Rebs+Asts,24.5,
,Rebounds,7.5,
,Points,14.5,
,Pts+Rebs+Asts,19.5,
,Points,16.5,
,Rebounds,4.5,
,Pts+Rebs+Asts,25.5,
,Pts+Rebs+Asts,20.5,
,Rebounds,6.5,
,Points,13.5,
,Points,7.5,
,Points,8.5,
,Points,8.5,
,Points,7.5,
,Points,6.0,
,Points,6.5,
,MAP 3 Kills,14.0,
,MAP 3 Kills,14.0,
,MAP 3 Kills,15.0,
,MAP 3 Kills,14.0,
,MAP 3 Kills,13.5,
,MAP 3 Kills,15.0,
,MAP 3 Kills,15.5,
,MAP 3 Kills,14.5,
,MAP 3 Kills,15.0,
,MAP 3 Kills,13.5,
,MAP 3 Headshots,7.0,
,MAP 3 Headshots,8.0,
,MAP 3 Headshots,5.5,
,MAP 3 Headshots,7.5,
,MAP 3 Headshots,8.5,
,MAP 3 Headshots,9.5,
,MAP 3 Headshots,8.0,
,MAP 3 Headshots,5.0,
,MAP 3 Headshots,7.5,
,MAP 3 Headshots,6.5,
,3-PT Made,1.5,
,Points,17.5,
,Pts+Rebs+Asts,19.5,
,Points,12.5,
,Rebounds,6.5,
,3-PT Made,1.5,
,Rebounds,5.0,
,Pts+Rebs+Asts,28.5,
,Points,20.5,
,3-PT Made,1.5,
,Points,17.5,
,Pts+Rebs+Asts,25.5,
,Pts+Rebs+Asts,22.5,
,Points,14.0,
,Rebounds,5.5,
,Points,14.5,
,Pts+Rebs+Asts,21.5,
,Shots,0.5,
,Shots,1.5,
,Shots On Target,1.5,
,Shots,2.5,
,Goals,0.5,
,Assists,0.5,
,Goal + Assist,0.5,
,Shots,3.5,
,Cards,0.5,
,Clearances,5.5,
,Shots On Target,2.5,
,Cards,0.5,
,Tackles,2.5,
,Goals,0.5,
,Shots On Target,1.5,
,Shots,1.5,
,Assists,0.5,
,Shots,5.5,
,Tackles,1.5,
,Goal + Assist,0.5,
,Shots,4.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Shots On Target,1.5,
,Goals,0.5,
,Assists,0.5,
,Shots On Target,0.5,
,Cards,0.5,
,Shots,2.5,
,Shots,2.0,
,Goal + Assist,0.5,
,Assists,0.5,
,Cards,0.5,
,Shots,0.5,
,Goal + Assist,0.5,
,Assists,0.5,
,Cards,0.5,
,Goals,0.5,
,Shots,2.5,
,Shots On Target,0.5,
,Shots On Target,1.5,
,Tackles,1.5,
,Assists,0.5,
,Goals,0.5,
,Goal + Assist,0.5,
,Shots,0.5,
,Tackles,2.5,
,Shots,2.5,
,Tackles,3.5,
,Shots On Target,0.5,
,Cards,0.5,
,Shots,1.5,
,Goals,0.5,
,Shots On Target,1.5,
,Assists,0.5,
,Shots,4.5,
,Shots,5.5,
,Shots On Target,2.5,
,Shots,2.5,
,Shots On Target,0.5,
,Cards,0.5,
,Goals,0.5,
,Shots,1.5,
,Shots,2.5,
,Shots On Target,1.5,
,Assists,0.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Goals,0.5,
,Shots Assisted,1.5,
,Passes Attempted,47.5,
,Tackles,2.0,
,Shots On Target,0.5,
,Cards,0.5,
,Shots,0.5,
,Clearances,7.5,
,Shots On Target,0.5,
,Shots,0.5,
,Tackles,1.5,
,Tackles,0.5,
,Shots,2.5,
,Cards,0.5,
,Shots,0.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Shots,1.5,
,Shots,2.0,
,Shots On Target,1.5,
,Goals,0.5,
,Shots On Target,2.5,
,Assists,0.5,
,Cards,0.5,
,Shots,1.5,
,Shots On Target,0.5,
,Shots,3.5,
,Goal + Assist,0.5,
,Shots,4.5,
,Cards,0.5,
,Shots On Target,0.5,
,Shots,5.5,
,Assists,0.5,
,Tackles,1.5,
,Shots,6.5,
,Tackles,0.5,
,Shots On Target,1.5,
,Goals,0.5,
,Shots On Target,3.5,
,Shots,1.5,
,Shots On Target,0.5,
,Assists,0.5,
,Shots,1.5,
,Cards,0.5,
,Shots,0.5,
,Goal + Assist,0.5,
,Goals,0.5,
,Shots,2.5,
,Shots,2.5,
,Cards,0.5,
,Tackles,2.5,
,Tackles,3.5,
,Shots On Target,0.5,
,Assists,0.5,
,Shots,0.5,
,Goal + Assist,0.5,
,Goals,0.5,
,Shots,1.5,
,Shots On Target,2.5,
,Assists,0.5,
,Shots,1.5,
,Shots,4.5,
,Shots On Target,1.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Shots,5.5,
,Tackles,2.5,
,Tackles,1.5,
,Goals,0.5,
,Goal + Assist,0.5,
,Shots On Target,1.5,
,Assists,0.5,
,Cards,0.5,
,Goals,0.5,
,Shots,1.5,
,Shots,3.5,
,Tackles,1.5,
,Tackles,3.5,
,Shots,2.5,
,Tackles,1.5,
,Tackles,0.5,
,Shots,1.5,
,Shots On Target,0.5,
,Goals,0.5,
,Cards,0.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Goals,0.5,
,Shots On Target,0.5,
,Assists,0.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Shots,1.5,
,Shots,0.5,
,Shots On Target,0.5,
,Goals,0.5,
,Shots,2.5,
,Tackles,1.5,
,Goal + Assist,0.5,
,Shots,1.5,
,Goals,0.5,
,Cards,0.5,
,Shots,0.5,
,Tackles,0.5,
,Shots On Target,1.5,
,Shots On Target,2.5,
,Shots,4.5,
,Shots On Target,2.5,
,Shots,1.5,
,Goal + Assist,0.5,
,Shots On Target,1.5,
,Tackles,1.5,
,Shots On Target,0.5,
,Goals,0.5,
,Tackles,0.5,
,Cards,0.5,
,Shots,3.5,
,Assists,0.5,
,Tackles,1.5,
,Shots On Target,0.5,
,Shots,0.5,
,Cards,0.5,
,Tackles,0.5,
,Shots On Target,1.5,
,Shots,1.5,
,Shots,4.5,
,Assists,0.5,
,Tackles,2.5,
,Shots,3.5,
,Shots On Target,0.5,
,Tackles,1.5,
,Goals,0.5,
,Tackles,2.5,
,Assists,0.5,
,Shots,0.5,
,Tackles,1.5,
,Shots,1.5,
,Shots On Target,0.5,
,Shots,2.5,
,Tackles,1.5,
,Shots On Target,0.5,
,Assists,0.5,
,Shots On Target,1.5,
,Shots,0.5,
,Tackles,0.5,
,Shots,3.5,
,Shots,0.5,
,Shots On Target,0.5,
,Tackles,0.5,
,Tackles,1.5,
,Shots,1.5,
,Tackles,2.5,
,Shots On Target,0.5,
,Tackles,1.5,
,Goals,0.5,
,Shots,0.5,
,Goals,0.5,
,Shots On Target,0.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Shots On Target,1.5,
,Shots,1.5,
,Goalie Saves,2.0,
,Goalie Saves,3.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Shots,0.5,
,Shots,3.5,
,Shots On Target,1.5,
,Shots,2.5,
,Assists,0.5,
,Goals,0.5,
,Shots On Target,0.5,
,Shots,0.5,
,Goal + Assist,0.5,
,Shots,1.5,
,Cards,0.5,
,Shots On Target,1.5,
,Assists,0.5,
,Shots,1.5,
,Shots,3.5,
,Shots,4.5,
,Goals,0.5,
,Cards,0.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Assists,0.5,
,Shots On Target,2.5,
,Shots,4.5,
,Shots,5.5,
,Goals,0.5,
,Shots,1.5,
,Shots On Target,1.5,
,Cards,0.5,
,Goal + Assist,0.5,
,Shots,2.5,
,Shots On Target,0.5,
,Goal + Assist,0.5,
,Goals,0.5,
,Shots,1.5,
,Cards,0.5,
