name,path,usage_count,complexity,has_tests,duplicates_count,duplicate_sample,category,priority_score
Navbar,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\shared\common\layout\Navbar.tsx,0,0,False,1430,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,7350.0
Sidebar,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\Sidebar\Sidebar.tsx,0,0,False,1430,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,7350.0
ThemeToggle,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\ThemeToggle.tsx,0,0,False,1144,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,5920.0
PerformanceMetrics,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\PerformanceMetrics.tsx,17,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",ADD_TESTS,4660.0
ConfidenceIndicator,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\shared\common\ConfidenceIndicator.tsx,1,0,False,860,"CyberTheme,LiveOddsTicker,PropAnalysis",ADD_TESTS,4510.0
MLInsights,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\insights\MLInsights.tsx,0,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,4490.0
BettingOpportunities,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\predictions\BettingOpportunities.tsx,0,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,4490.0
RiskProfileSelector,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\RiskProfileSelector.tsx,0,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,4490.0
PerformanceChart,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\monitoring\PerformanceChart.tsx,0,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,4490.0
ESPNHeadlinesTicker,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\features\news\ESPNHeadlinesTicker.tsx,0,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,4490.0
ModelPerformance,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\predictions\ModelPerformance.tsx,0,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,4490.0
ShapValueDisplay,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\ShapValueDisplay.tsx,0,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,4490.0
PropCards,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\PropCards.tsx,0,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,4490.0
RiskProfileManager,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\RiskProfileManager.tsx,0,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,4490.0
PayoutPreview,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\prediction\PayoutPreview.tsx,1,0,False,858,"CyberTheme,LiveOddsTicker,PropAnalysis",KEEP_AS_IS,4400.0
Layout,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\shared\common\layout\Layout.tsx,25,0,False,574,"CyberTheme,LiveOddsTicker,PropAnalysis",ADD_TESTS,3320.0
PropCard,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\shared\ui\unified\PropCard.tsx,7,27,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",ADD_TESTS,3132.7
UserStats,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\features\user\UserStats.tsx,1,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",ADD_TESTS,3070.0
Navigation,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\shared\layout\Navigation.tsx,1,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",ADD_TESTS,3070.0
RealtimePredictionDisplay,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\RealtimePredictionDisplay.tsx,0,5,False,573,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3065.5
AppInitializer,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\core\AppInitializer.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
ProtectedRoute,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\shared\layout\ProtectedRoute.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
RegisterForm,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\RegisterForm.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
BettingStats,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\features\betting\BettingStats.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
LiveOddsTicker,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\LiveOddsTicker.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
SHAPVisualization,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\shared\SHAPVisualization.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
SportSelector,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\shared\common\SportSelector.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
AppShell,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\layout\AppShell.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
MLFactorViz,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\MLFactorViz.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
ShapBreakdownModal,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\ShapBreakdownModal.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
ShapVisualization,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\ShapVisualization.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
EntryTracking,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\features\tracking\EntryTracking.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
Header,C:\Users\bcmad\Downloads\A1Betting7-13.2\frontend\src\components\Header.tsx,0,0,False,572,"CyberTheme,LiveOddsTicker,PropAnalysis",DELETE_UNUSED,3060.0
